               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.096191,             0.10153,                   0,             0.66172,             0.54843,             0.59606,             0.18004,            0.060829,             0.10324,                   0,           0.0033183,           0.0033183,            0.070136
                   1,            0.070222,            0.099055,                   0,             0.73573,             0.69476,             0.74976,             0.27704,            0.052626,            0.096858,                   0,           0.0066296,           0.0066296,            0.040114
                   2,            0.062788,             0.10065,                   0,             0.72259,              0.6904,              0.6753,              0.2417,            0.052261,             0.10553,                   0,            0.009919,            0.009919,             0.01007
                   3,            0.055078,            0.095696,                   0,             0.89781,             0.81905,             0.88436,             0.40706,            0.045037,            0.094394,                   0,            0.009901,            0.009901,            0.009901
                   4,            0.049578,            0.093916,                   0,             0.91265,             0.82228,             0.89315,             0.42539,            0.043851,            0.092578,                   0,            0.009901,            0.009901,            0.009901
                   5,            0.047874,            0.091545,                   0,              0.9092,             0.83536,             0.89167,             0.42412,            0.044193,            0.092403,                   0,            0.009868,            0.009868,            0.009868
                   6,            0.047111,            0.091405,                   0,             0.90986,             0.85206,             0.90862,             0.42969,            0.043447,            0.092934,                   0,            0.009835,            0.009835,            0.009835
                   7,            0.046193,            0.090302,                   0,             0.92211,             0.85293,              0.9109,             0.44985,            0.042176,             0.09113,                   0,            0.009802,            0.009802,            0.009802
                   8,            0.045424,            0.090593,                   0,             0.91858,             0.85831,              0.9131,             0.45151,            0.041745,            0.091254,                   0,            0.009769,            0.009769,            0.009769
                   9,            0.044973,            0.089165,                   0,             0.92251,             0.86576,             0.91884,             0.45765,            0.041587,            0.091151,                   0,            0.009736,            0.009736,            0.009736
                  10,            0.045011,            0.091021,                   0,             0.91714,             0.87294,             0.92221,             0.44876,            0.042213,            0.091256,                   0,            0.009703,            0.009703,            0.009703
                  11,            0.044256,            0.090155,                   0,             0.92808,             0.86607,             0.92337,             0.45676,            0.041474,            0.090621,                   0,             0.00967,             0.00967,             0.00967
                  12,            0.044085,            0.087969,                   0,             0.92882,             0.86919,             0.92401,             0.46623,            0.040988,            0.090518,                   0,            0.009637,            0.009637,            0.009637
                  13,             0.04355,             0.08718,                   0,             0.92553,              0.8761,             0.92658,             0.46275,            0.041344,            0.090712,                   0,            0.009604,            0.009604,            0.009604
                  14,            0.043539,             0.08776,                   0,             0.92546,             0.87638,             0.92507,             0.46585,            0.041193,            0.090493,                   0,            0.009571,            0.009571,            0.009571
                  15,            0.043509,            0.089201,                   0,             0.92449,              0.8789,             0.92559,             0.46828,            0.040978,            0.090499,                   0,            0.009538,            0.009538,            0.009538
                  16,            0.043644,            0.089804,                   0,             0.92733,             0.87223,             0.92431,             0.46763,            0.041146,            0.090604,                   0,            0.009505,            0.009505,            0.009505
                  17,            0.043206,            0.088953,                   0,             0.93526,             0.87267,             0.92786,              0.4696,            0.040929,            0.090486,                   0,            0.009472,            0.009472,            0.009472
                  18,            0.042981,            0.086927,                   0,              0.9264,             0.88498,             0.93044,             0.47461,            0.040528,            0.089971,                   0,            0.009439,            0.009439,            0.009439
                  19,             0.04289,            0.088012,                   0,              0.9334,             0.87526,             0.93016,             0.47272,            0.040561,            0.090041,                   0,            0.009406,            0.009406,            0.009406
                  20,            0.042817,            0.088697,                   0,             0.92949,             0.88212,             0.93058,             0.47335,            0.040501,            0.089965,                   0,            0.009373,            0.009373,            0.009373
                  21,             0.04275,            0.087131,                   0,             0.93223,             0.87986,              0.9289,             0.47585,            0.040451,            0.090217,                   0,             0.00934,             0.00934,             0.00934
                  22,            0.042837,            0.087229,                   0,             0.93387,             0.88115,             0.93274,             0.47922,            0.040364,            0.089938,                   0,            0.009307,            0.009307,            0.009307
                  23,            0.042634,            0.087132,                   0,             0.93139,             0.88044,             0.93114,             0.47592,            0.040712,             0.09029,                   0,            0.009274,            0.009274,            0.009274
                  24,            0.042475,            0.088579,                   0,             0.93429,             0.88494,             0.93293,             0.47865,            0.040362,            0.089815,                   0,            0.009241,            0.009241,            0.009241
                  25,            0.042261,            0.087884,                   0,             0.92921,             0.88721,             0.93465,              0.4775,            0.040268,            0.089554,                   0,            0.009208,            0.009208,            0.009208
                  26,            0.042515,            0.088199,                   0,             0.92813,             0.89021,             0.93317,             0.47941,            0.040176,             0.08958,                   0,            0.009175,            0.009175,            0.009175
                  27,            0.042208,            0.086822,                   0,             0.93602,             0.87855,             0.93306,             0.47966,            0.040357,            0.090128,                   0,            0.009142,            0.009142,            0.009142
                  28,            0.041912,            0.085779,                   0,             0.92928,             0.88877,             0.93234,             0.48201,            0.040215,            0.089959,                   0,            0.009109,            0.009109,            0.009109
                  29,            0.041718,            0.086364,                   0,             0.92623,             0.89306,             0.93314,             0.47805,            0.040272,            0.089893,                   0,            0.009076,            0.009076,            0.009076
                  30,            0.041431,            0.085363,                   0,             0.93231,             0.88369,             0.93358,             0.48275,            0.040154,            0.090017,                   0,            0.009043,            0.009043,            0.009043
                  31,            0.041975,            0.085442,                   0,             0.93087,             0.89092,             0.93602,             0.48214,            0.040216,            0.089738,                   0,             0.00901,             0.00901,             0.00901
                  32,            0.041568,            0.087106,                   0,             0.93221,             0.89061,             0.93408,             0.47984,            0.040158,            0.090013,                   0,            0.008977,            0.008977,            0.008977
                  33,            0.041393,            0.086254,                   0,             0.93049,             0.89449,              0.9376,             0.48192,            0.040225,            0.089862,                   0,            0.008944,            0.008944,            0.008944
                  34,            0.041823,             0.08529,                   0,             0.93193,             0.88926,             0.93485,             0.48377,             0.04003,            0.089594,                   0,            0.008911,            0.008911,            0.008911
                  35,            0.041643,            0.086464,                   0,             0.92996,             0.89346,              0.9357,              0.4847,            0.039999,            0.089736,                   0,            0.008878,            0.008878,            0.008878
                  36,             0.04173,            0.085483,                   0,             0.93262,             0.88708,             0.93376,             0.48144,            0.040208,            0.090834,                   0,            0.008845,            0.008845,            0.008845
                  37,            0.041432,            0.085252,                   0,             0.93271,             0.89115,             0.93649,             0.48654,             0.03998,            0.090119,                   0,            0.008812,            0.008812,            0.008812
                  38,            0.041338,            0.086183,                   0,             0.93389,             0.88726,              0.9364,             0.48808,            0.040046,            0.089945,                   0,            0.008779,            0.008779,            0.008779
                  39,            0.041128,            0.086287,                   0,             0.93491,             0.89587,             0.93814,              0.4848,            0.039945,            0.089686,                   0,            0.008746,            0.008746,            0.008746
                  40,            0.041213,            0.086522,                   0,              0.9361,             0.89431,             0.93894,             0.48598,            0.040121,            0.089738,                   0,            0.008713,            0.008713,            0.008713
                  41,            0.041421,             0.08546,                   0,             0.93193,             0.89174,             0.93744,             0.48931,            0.039797,            0.089723,                   0,             0.00868,             0.00868,             0.00868
                  42,            0.041078,            0.084655,                   0,             0.92757,             0.89414,             0.93754,             0.48691,            0.040002,            0.090177,                   0,            0.008647,            0.008647,            0.008647
                  43,            0.041147,            0.084977,                   0,             0.93646,              0.8857,             0.93425,             0.48565,            0.040108,             0.09015,                   0,            0.008614,            0.008614,            0.008614
                  44,            0.040872,            0.085381,                   0,             0.93301,              0.8899,             0.93486,             0.48457,            0.040079,              0.0901,                   0,            0.008581,            0.008581,            0.008581
                  45,            0.040872,            0.086136,                   0,             0.93716,              0.8916,             0.93762,             0.48726,            0.039937,            0.090133,                   0,            0.008548,            0.008548,            0.008548
                  46,            0.040814,            0.085176,                   0,             0.93704,             0.89288,             0.93825,             0.48785,            0.039872,            0.089788,                   0,            0.008515,            0.008515,            0.008515
                  47,            0.040632,            0.084255,                   0,             0.93391,             0.89586,             0.93873,             0.48984,            0.039823,            0.090042,                   0,            0.008482,            0.008482,            0.008482
                  48,            0.041003,            0.085815,                   0,             0.93782,             0.89289,               0.938,             0.48757,            0.039901,            0.089928,                   0,            0.008449,            0.008449,            0.008449
                  49,            0.040482,            0.084498,                   0,             0.93806,             0.89449,             0.93826,             0.48777,            0.039959,             0.09006,                   0,            0.008416,            0.008416,            0.008416
                  50,            0.040684,            0.084624,                   0,             0.93305,             0.89766,             0.93856,             0.48942,            0.039763,            0.090121,                   0,            0.008383,            0.008383,            0.008383
                  51,             0.04083,            0.084287,                   0,             0.93661,             0.89538,             0.94014,             0.48903,            0.039847,            0.089453,                   0,             0.00835,             0.00835,             0.00835
                  52,            0.040643,            0.086723,                   0,             0.93642,             0.89498,             0.94062,             0.48865,            0.040047,            0.090672,                   0,            0.008317,            0.008317,            0.008317
                  53,            0.040729,            0.085379,                   0,              0.9348,              0.8965,             0.93964,             0.48987,            0.039811,            0.090145,                   0,            0.008284,            0.008284,            0.008284
                  54,            0.040371,            0.083563,                   0,             0.93704,             0.89438,             0.93809,             0.49025,            0.039794,            0.089989,                   0,            0.008251,            0.008251,            0.008251
                  55,            0.040534,            0.084106,                   0,             0.93817,             0.89618,             0.94115,             0.49136,            0.039653,            0.089781,                   0,            0.008218,            0.008218,            0.008218
                  56,             0.04031,            0.084857,                   0,             0.93596,             0.89511,             0.93877,             0.48929,             0.03978,            0.089923,                   0,            0.008185,            0.008185,            0.008185
                  57,            0.040377,            0.085211,                   0,             0.93626,             0.89627,             0.94101,              0.4902,             0.03985,            0.090032,                   0,            0.008152,            0.008152,            0.008152
                  58,            0.040242,            0.084748,                   0,             0.93462,             0.89917,              0.9399,             0.49077,             0.03979,            0.090553,                   0,            0.008119,            0.008119,            0.008119
                  59,            0.039922,            0.083324,                   0,             0.93859,             0.89523,             0.93987,             0.49137,             0.03986,            0.089849,                   0,            0.008086,            0.008086,            0.008086
                  60,            0.040343,            0.084144,                   0,             0.93685,             0.89542,             0.93803,             0.48846,            0.039865,            0.090117,                   0,            0.008053,            0.008053,            0.008053
                  61,            0.040033,            0.083219,                   0,             0.93657,             0.89413,             0.93843,             0.49082,            0.039799,            0.090431,                   0,             0.00802,             0.00802,             0.00802
                  62,            0.040365,            0.084554,                   0,             0.93497,             0.89859,             0.93754,             0.49015,            0.039742,            0.089874,                   0,            0.007987,            0.007987,            0.007987
                  63,            0.040069,             0.08354,                   0,             0.93478,             0.89782,             0.94005,             0.49052,            0.039894,            0.090286,                   0,            0.007954,            0.007954,            0.007954
                  64,             0.03986,            0.082874,                   0,             0.93907,             0.89244,             0.93966,             0.49023,            0.039834,            0.090177,                   0,            0.007921,            0.007921,            0.007921
                  65,            0.040048,            0.084557,                   0,             0.93643,             0.89644,             0.93952,             0.49126,            0.039837,            0.090318,                   0,            0.007888,            0.007888,            0.007888
                  66,            0.040147,            0.083306,                   0,             0.93824,             0.89494,             0.93901,             0.49287,            0.039662,            0.089738,                   0,            0.007855,            0.007855,            0.007855
                  67,            0.040069,            0.083616,                   0,             0.93877,              0.8969,             0.94108,             0.49128,            0.039925,            0.090483,                   0,            0.007822,            0.007822,            0.007822
                  68,            0.039895,            0.084079,                   0,             0.93949,             0.89709,             0.94059,             0.49204,             0.03967,            0.090184,                   0,            0.007789,            0.007789,            0.007789
                  69,            0.040112,            0.084437,                   0,             0.93826,             0.89659,             0.94087,              0.4924,            0.039882,            0.090361,                   0,            0.007756,            0.007756,            0.007756
                  70,            0.039873,            0.082421,                   0,             0.93319,             0.90506,             0.94309,             0.49469,            0.039683,            0.090476,                   0,            0.007723,            0.007723,            0.007723
                  71,            0.039443,            0.081323,                   0,             0.93425,             0.90132,             0.94191,             0.49244,              0.0399,            0.090373,                   0,             0.00769,             0.00769,             0.00769
                  72,              0.0395,             0.08146,                   0,             0.93863,             0.89722,             0.93903,             0.49258,            0.039806,            0.090674,                   0,            0.007657,            0.007657,            0.007657
                  73,            0.039576,            0.082468,                   0,             0.93569,             0.89757,             0.94081,             0.49113,            0.039803,            0.090708,                   0,            0.007624,            0.007624,            0.007624
                  74,            0.039967,            0.082771,                   0,             0.94207,             0.89601,             0.94083,             0.49317,            0.039779,             0.09027,                   0,            0.007591,            0.007591,            0.007591
                  75,            0.039401,             0.08131,                   0,             0.93991,             0.88701,             0.93134,             0.48745,            0.039883,            0.090398,                   0,            0.007558,            0.007558,            0.007558
                  76,            0.039654,             0.08268,                   0,              0.9374,             0.89958,             0.94037,             0.49114,            0.039714,            0.090307,                   0,            0.007525,            0.007525,            0.007525
                  77,            0.039376,            0.081908,                   0,             0.93855,             0.89306,             0.93427,             0.48871,            0.039904,            0.090859,                   0,            0.007492,            0.007492,            0.007492
                  78,            0.039635,            0.084019,                   0,             0.93654,             0.79581,             0.84483,             0.44648,            0.039721,            0.090433,                   0,            0.007459,            0.007459,            0.007459
                  79,            0.039452,            0.083108,                   0,             0.93542,             0.82837,             0.87628,             0.46317,            0.039796,            0.090434,                   0,            0.007426,            0.007426,            0.007426
                  80,            0.039512,            0.082235,                   0,             0.93863,             0.86103,             0.90933,             0.47712,            0.039963,            0.090847,                   0,            0.007393,            0.007393,            0.007393
                  81,             0.03929,            0.081898,                   0,             0.93788,             0.83324,             0.88388,             0.46554,            0.039705,            0.090667,                   0,             0.00736,             0.00736,             0.00736
                  82,            0.039105,            0.080901,                   0,             0.93797,             0.79129,             0.84648,             0.44629,            0.039927,            0.090835,                   0,            0.007327,            0.007327,            0.007327
                  83,            0.039253,            0.082445,                   0,             0.93203,             0.86982,             0.91319,             0.47617,            0.039988,            0.091396,                   0,            0.007294,            0.007294,            0.007294
                  84,            0.039345,             0.08319,                   0,              0.9355,             0.89295,             0.93303,             0.48631,            0.039844,            0.091283,                   0,            0.007261,            0.007261,            0.007261
                  85,              0.0391,            0.082094,                   0,             0.93989,             0.88811,             0.93132,             0.48893,             0.03975,            0.091265,                   0,            0.007228,            0.007228,            0.007228
                  86,            0.039318,            0.082532,                   0,             0.94014,              0.8815,             0.92713,             0.48747,            0.039665,            0.090651,                   0,            0.007195,            0.007195,            0.007195
                  87,            0.039132,            0.082292,                   0,             0.93651,             0.89762,              0.9391,             0.49303,            0.039762,            0.090756,                   0,            0.007162,            0.007162,            0.007162
                  88,            0.038787,             0.08187,                   0,             0.94098,             0.84497,             0.89526,             0.46997,            0.039869,            0.091257,                   0,            0.007129,            0.007129,            0.007129
                  89,            0.038807,            0.082078,                   0,             0.93456,             0.89128,             0.92963,             0.48768,             0.03985,            0.090925,                   0,            0.007096,            0.007096,            0.007096
                  90,            0.038946,            0.082134,                   0,             0.93515,             0.90337,             0.94213,             0.49298,            0.039834,            0.091387,                   0,            0.007063,            0.007063,            0.007063
                  91,            0.038878,            0.080496,                   0,             0.93687,             0.90433,             0.94399,             0.49539,            0.039948,            0.091519,                   0,             0.00703,             0.00703,             0.00703
                  92,            0.039178,            0.083178,                   0,             0.94082,             0.90087,              0.9424,             0.49474,            0.039861,            0.090903,                   0,            0.006997,            0.006997,            0.006997
                  93,            0.038778,            0.080297,                   0,             0.93859,             0.90301,             0.94308,             0.49561,            0.039635,            0.090812,                   0,            0.006964,            0.006964,            0.006964
                  94,            0.038926,            0.081301,                   0,             0.93969,             0.90114,             0.94359,             0.49506,            0.039549,            0.090698,                   0,            0.006931,            0.006931,            0.006931
                  95,            0.038861,             0.08275,                   0,             0.93753,             0.90185,             0.94251,             0.49497,            0.039648,            0.091164,                   0,            0.006898,            0.006898,            0.006898
                  96,            0.038705,            0.080886,                   0,             0.94223,             0.89862,             0.94418,              0.4959,            0.039524,             0.09098,                   0,            0.006865,            0.006865,            0.006865
                  97,            0.038905,            0.082068,                   0,             0.93901,             0.87504,             0.91985,             0.48499,             0.03959,            0.090877,                   0,            0.006832,            0.006832,            0.006832
                  98,            0.038553,            0.081856,                   0,             0.93673,             0.85469,             0.90086,             0.47609,            0.039606,            0.090709,                   0,            0.006799,            0.006799,            0.006799
                  99,            0.038753,             0.08308,                   0,             0.93619,             0.89779,             0.93829,             0.49392,             0.03963,             0.09115,                   0,            0.006766,            0.006766,            0.006766
                 100,            0.038758,            0.079801,                   0,             0.93666,             0.88352,             0.92357,             0.48567,             0.03971,            0.090964,                   0,            0.006733,            0.006733,            0.006733
                 101,            0.038664,            0.082028,                   0,             0.93578,             0.89137,             0.93184,             0.48952,            0.039721,            0.091015,                   0,              0.0067,              0.0067,              0.0067
                 102,            0.038411,            0.080404,                   0,             0.93779,             0.89284,             0.93285,             0.48833,            0.039842,            0.091225,                   0,            0.006667,            0.006667,            0.006667
                 103,            0.038747,            0.081143,                   0,             0.93778,             0.90042,             0.94215,              0.4951,            0.039779,            0.091321,                   0,            0.006634,            0.006634,            0.006634
                 104,            0.038431,             0.08092,                   0,             0.94107,             0.90087,             0.94332,             0.49554,            0.039793,            0.090948,                   0,            0.006601,            0.006601,            0.006601
                 105,             0.03846,            0.081024,                   0,             0.93784,             0.89522,             0.93599,             0.49133,            0.039928,            0.091189,                   0,            0.006568,            0.006568,            0.006568
                 106,             0.03837,            0.080926,                   0,             0.93596,             0.90426,             0.94319,             0.49521,            0.039789,            0.091126,                   0,            0.006535,            0.006535,            0.006535
                 107,            0.038574,            0.080362,                   0,             0.93743,               0.903,             0.94243,             0.49524,            0.039921,            0.090913,                   0,            0.006502,            0.006502,            0.006502
                 108,            0.038695,            0.081118,                   0,             0.93686,             0.90226,             0.94073,             0.49498,            0.039785,            0.091278,                   0,            0.006469,            0.006469,            0.006469
                 109,            0.038471,            0.081275,                   0,             0.93912,             0.90158,             0.94186,             0.49606,            0.039719,            0.091338,                   0,            0.006436,            0.006436,            0.006436
                 110,            0.038413,            0.080436,                   0,              0.9396,             0.90288,             0.94194,             0.49519,            0.039658,            0.091314,                   0,            0.006403,            0.006403,            0.006403
                 111,             0.03814,            0.080003,                   0,             0.93852,             0.90306,             0.94089,             0.49455,            0.039832,            0.091772,                   0,             0.00637,             0.00637,             0.00637
                 112,            0.038101,            0.080214,                   0,             0.93704,             0.90567,             0.94393,             0.49589,            0.039668,            0.091527,                   0,            0.006337,            0.006337,            0.006337
                 113,            0.038535,            0.080962,                   0,             0.93469,             0.90778,             0.94244,             0.49556,            0.039606,            0.091263,                   0,            0.006304,            0.006304,            0.006304
                 114,            0.038137,             0.08044,                   0,             0.93423,             0.90746,              0.9434,             0.49635,            0.039632,            0.091138,                   0,            0.006271,            0.006271,            0.006271
                 115,            0.038161,            0.081014,                   0,             0.94142,             0.90181,             0.94279,             0.49586,            0.039678,            0.091228,                   0,            0.006238,            0.006238,            0.006238
                 116,            0.037989,            0.078817,                   0,             0.94031,             0.90243,             0.94241,              0.4966,            0.039651,            0.091532,                   0,            0.006205,            0.006205,            0.006205
                 117,            0.038158,            0.080344,                   0,             0.93731,             0.90332,             0.94161,             0.49615,            0.039619,            0.091465,                   0,            0.006172,            0.006172,            0.006172
                 118,            0.038177,            0.079704,                   0,             0.94293,             0.90154,             0.94401,             0.49748,            0.039627,            0.091486,                   0,            0.006139,            0.006139,            0.006139
                 119,            0.037916,            0.080204,                   0,             0.93993,              0.9056,             0.94306,              0.4984,             0.03954,            0.091385,                   0,            0.006106,            0.006106,            0.006106
                 120,            0.038019,            0.080118,                   0,             0.93605,             0.90701,             0.94206,             0.49703,            0.039554,            0.091282,                   0,            0.006073,            0.006073,            0.006073
                 121,            0.037945,            0.081058,                   0,             0.93743,             0.90529,             0.94298,             0.49568,            0.039643,            0.091452,                   0,             0.00604,             0.00604,             0.00604
                 122,            0.037718,            0.080116,                   0,             0.93767,             0.90698,             0.94348,             0.49581,            0.039547,            0.091734,                   0,            0.006007,            0.006007,            0.006007
                 123,            0.038014,            0.079731,                   0,             0.93678,             0.90826,             0.94373,             0.49497,            0.039514,            0.091568,                   0,            0.005974,            0.005974,            0.005974
